"s11","s12","s13","s14","s15","s16","s17","s18","s21","s22","s23","s24","s25","s26","s27","s28","IngsInRow","IngIn1","IngIn2","RegOrVeg"
"Onions","Bell peppers","Mushrooms","Jalapenos","American cheese","Steak","","","Bacon","Provolone cheese","Mushrooms","Parmesan cheese","","","","",6,6,4,"r"
"Tomatoes","Mozzarella cheese","Spinach","Pesto","","","","","Ham","Swiss cheese","Mustard","","","","","",4,4,3,"r"
"Turkey","Provolone cheese","Spinach","Garlic aioli","","","","","Chicken","Pickles","Basil","Tomatoes","Cucumbers","","","",5,4,5,"r"
"Chicken","American cheese","Coleslaw","Tomatoes","Pickles","Mayonnaise","","","Swiss cheese","Provolone cheese","Bell peppers","Tomatoes","Onions","","","",6,6,5,"r"
"Provolone cheese","Swiss cheese","Cheddar cheese","Parmesan cheese","Tomatoes","","","","Chicken","Lettuce","Tomatoes","Mayonnaise","","","","",5,5,4,"r"
"Chicken","Cheddar cheese","Mayonnaise","","","","","","Turkey","Provolone cheese","Pesto","Bell peppers","","","","",4,3,4,"r"
"Chicken","Cheddar cheese","Lettuce","Garlic aioli","Swiss cheese","Tomatoes","","","Cheddar cheese","Provolone cheese","Swiss cheese","Mushrooms","Mayonnaise","Lettuce","Tomatoes","",7,6,7,"r"
"Mozzarella cheese","Bell peppers","Pesto","Spinach","","","","","Ham","Lettuce","Tomatoes","Mayonnaise","Mustard","","","",5,4,5,"r"
"Chicken","Ham","Swiss cheese","Mayonnaise","","","","","Pepperoni","Meatballs","Marinara sauce","Provolone cheese","Mushrooms","","","",5,4,5,"r"
"Bacon","Turkey","Pepper jack cheese","Mustard","","","","","Bacon","Spinach","Tomatoes","Avocado","Mayonnaise","","","",5,4,5,"r"
"Turkey","Cheddar cheese","Coleslaw","Spinach","Mustard","","","","Salami","Provolone cheese","Lettuce","Tomatoes","Mayonnaise","Mustard","","",6,5,6,"r"
"Pork","Ham","Swiss cheese","Pickles","Mustard","","","","Chicken","Bacon","Mustard","","","","","",5,5,3,"r"
"Turkey","Cheddar cheese","Mayonnaise","","","","","","Ham","Pork","Swiss cheese","Mustard","Pickles","","","",5,3,5,"r"
"Chicken","Garlic aioli","Pickles","Cucumbers","Jalapenos","Basil","","","Roast beef","Bacon","Turkey","Mayonnaise","","","","",6,6,4,"r"
"Steak","Bacon","American cheese","Tomatoes","Onions","Pickles","","","Bell peppers","Provolone cheese","Cucumbers","Spinach","Tomatoes","Onions","Hummus","",7,6,7,"r"
